Map_Name,Map_Text,Total_Expense
Restaurante,SUBWAY MULTIPLAZA ESCA ,10597
Gasolina,SERVICENTRO EL HIGUERO,24016
Restaurante,LA FABRICA PIZZERIA CU ,2000
Restaurante,ROSTIPOLLOS,3966.75
Supermercado,AUTO MERCADO PL/DEL SO ,7830
Entretenimiento,Internet,13500
Gasolina,DELTA CIUDAD QUESADA,2000
Restaurante,RESTAURANTE TACO BELL,1356
Entretenimiento,Spotify ,5000
Restaurante,TERIYAKI MULTIPLAZA ES ,1500
Supermercado,WALMART ESCAZ,2700
Entretenimiento,Libreria,8900
Restaurante,AROMA COFEE HOUSE,3850
Restaurante,PORKYS BURGER,2450
Gimnasio,MULTISPA DEL OESTE,13500
Gastos en el hogar,SUBWAY U/LATINA,3150
Restaurante,ROSTIPOLLOS MULTIPLAZA,3350
Salud,NUTRICION INTEGRAL,9625
Supermercado,AUTO MERCADO PL/DEL SO,5300
Restaurante,RESTAURANTE TERRAZA TO,4450
Restaurante,PF CHANG S,5200
Entretenimiento,Libreria,6500
Restaurante,LA FABRICA PIZZERIA,7800
Restaurante,TERIYAKI MULTIPLAZA ES,2000
Supermercado,AUTO MERCADO MULTIPLAZ,3966.75
Ropa,Tienda La Gloria,7830
Salud,FARM/SUCRE MULTIPLAZA OESTE,5580
Salud,NUTRICION INTEGRAL,9625
Salud,FARM/SUCRE MULTIPLAZA OESTE,5580
Restaurante,SUBWAY CIUDAD QUESADA,600
Ropa,Pistacho Boutique,13500
Entretenimiento,Paramount+,8000
Entretenimiento,Internet,13500
Supermercado,SUPERMERCADO COOPEMARI,3850
Restaurante,LA FABRICA PIZZERIA CU,24500
Ropa,ZARA Costa Rica ,9350
Restaurante,LA CASONA DE LALY SANT,3150
Ropa,Tienda La Gloria,3350
Supermercado,Pistacho Boutique,9625
Supermercado,ZARA Costa Rica ,5300
Restaurante,N Y C PIZZA BCO,4450
Ropa,Pistacho Boutique,19650.93
Restaurante,CABANA DON MANUEL,10597
Salud,FARMACIA FISCHEL PLAZA DEL SOL,7830
Restaurante,SUBWAY CIUDAD QUESADA,2000
Entretenimiento,Amazon Prime Video,5000
Entretenimiento,Internet,13500
Restaurante,ROSTIPOLLOS,600
Restaurante,LA FABRICA PIZZERIA CU,13500
Gastos en el hogar,RESTAURANTE LAS HORTEN,2700
Restaurante,RESTAURANTE LAS HORTEN,5400
Salud,FISCHEL SAN PEDRO S64,6500
Restaurante,HOOTERS,24500
Restaurante,TAQUIROUS FAST FOOD,5300
Entretenimiento,NETFLIX/COM,5500
Restaurante,AROMA COFEE HOUSE,1965
Restaurante,CHILIS MULTIPLAZA DEL,10597
Restaurante,TAP HOUSE,24016
Entretenimiento,Spotify ,13456
Entretenimiento,Amazon Prime Video,5000
Restaurante,SUBWAY PLAZA DEL SOL,7830
Restaurante,DON RUFINO RESTAURANTE,5580
Restaurante,LAS BRASITAS RESTAURAN,5150
Entretenimiento,Spotify ,5000
Gasolina,SERVICENTRO EL HIGUERO,3850
Supermercado,AUTO MERCADO PL/DEL SO,24500
Restaurante,ANCHIO PIZZERIA E RIST,9350
Supermercado,SUPER CRISTIAN,3150
Restaurante,NINA CAFE,3350
Supermercado,SUPER EL PARQUE,9625
Supermercado,SUPER EL PARQUE,5300
Restaurante,NINA CAFE,4450
Entretenimiento,Disney+,5500
Restaurante,EL RANCHO DE LALY,5200
Restaurante,LA FABRICA PIZZERIA CU,
Restaurante,SUBWAY U/LATINA,10597
Entretenimiento,libreria,24000
Entretenimiento,Internet,13500
Restaurante,PF CHANG S,3966.75
Salud,FARMACIA FISCHEL PLAZA DEL SOL,7830
Entretenimiento,Spotify ,5000
Gasolina,SERVICENTRO EL HIGUERO,5150
Restaurante,LA CASONA DE LALY SANT,13456
Gastos en el hogar,NINA CAFÆ’,600
Gimnasio,MULTISPA DEL OESTE,13500
Restaurante,NINA CAFE ,9350
Supermercado,MAS X MENOS LA GRANJA SERVINET,3150
Restaurante,SUBWAY U/LATINA ,3350
Entretenimiento,Spotify ,5000
Restaurante,PIPOS DOG,5300
Restaurante,POPS SAN CARLOS ,4450
Entretenimiento,Amazon Prime Video,19650.93
Gasolina,ESTACION DE SERV/LOYVA LTDA ,10597
Restaurante,TILAPIAS QUECO S ,24016
Entretenimiento,NETFLIX/COM ,5500
Entretenimiento,HBOMax,10400
Restaurante,LA CASONA DE LALY SANT\SANTA A,13456
Restaurante,LA CASONA DE LALY SANT\SANTA A,600
Restaurante,DA PATRICIO E LUIGI RI\SAN JOS,13500
Restaurante,SUBWAY U.LATINA,13500
Restaurante,LA CASONA DE LALY SANT\SANTA A,5400
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,3850
Gasolina,SERVICENTRO LA GALERA,24500
Restaurante,SUBWAY U.LATINA,9350
Restaurante,RESTAURANTE LAS HORTENSIAS,3150
Entretenimiento,Spotify ,5000
Restaurante,SUPER EL PARQUE\ ALAJUEL,9625
Supermercado,AUTO MERCADO PL.DEL SOL,5300
Entretenimiento,HBOMax,10400
Supermercado,AUTO MERCADO PL.DEL SOL,4200
Restaurante,SUBWAY U.LATINA,19650.93
Entretenimiento,Amazon Prime Video,5000
Restaurante,DA PATRICIO E LUIGI RI\SAN JOS,1200
Gastos en el hogar,LA FABRICA PIZZERIA CURRIDABAT,10597
Gasolina,SERVICENTRO EL HIGUERON,24016
Restaurante,SUPER LA FERIA,2000
Restaurante,SUBWAY CIUDAD QUESADA,3966.75
Salud,IES KAVERNO BARBER SHOP,7830
Restaurante,LA CASONA DE LALY SANT\SANTA A,5580
Restaurante,PF CHANG S\ ESCAZU,5150
Supermercado,AUTO MERCADO PL.DEL SOL,13456
Restaurante,NIKKLAS,600
Restaurante,JOHNNY ROCKETS TERRAZAS LINDOR,1500
Supermercado,MINI SUPER FRUTICAS N 1,2700
Restaurante,NINA CAFE,5400
Ropa,ZARA Costa Rica ,3850
Entretenimiento,NETFLIX/COM ,5500
Entretenimiento,Spotify ,5000
Gasolina,SERVICENTRO EL HIGUERON,3150
Ropa,ALMACENES SIMAN,3350
Restaurante,POPS SAN CARLOS,9625
Restaurante,SUBWAY CIUDAD QUESADA,5300
Ropa,EL REY NO. 10 SAN CARLOS ,4450
Supermercado,AUTO MERCADO PL.DEL SOL,5000
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,10597
Restaurante,SUBWAY U.LATINA,24016
Supermercado,AUTO MERCADO PL.DEL SOL,2000
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,3966.75
Salud,FISCHEL SAN PEDRO S64,6500
Restaurante,NAANS Y CURRIES,5580
Restaurante,LA CASONA DE LALY SANT\SANTA A,5150
Restaurante,COSI CURRIDABAT,13456
Supermercado,SUPERMERCADO MUâ€¹OZ Y N\SAN JOS,2600
Gasolina,SERVICENTRO EL HIGUERO\SAN JOS,13500
Supermercado,AUTO MERCADO PL.DEL SOL,2700
Supermercado,MINI SUPER FRUTICAS N 1,5400
Gimnasio,GIMNASIO CIPRESES,11350
Restaurante,NINA CAFE,24500
Agua,App BCR Móvil,12000
Restaurante,SUBWAY U.LATINA,3150
Entretenimiento,Spotify ,5000
Restaurante,SUBWAY U.LATINA,9625
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,5300
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,4450
Supermercado,SUPER MARKET PURA VIDA,19500
Restaurante,THE RUNAWAY GRILL\ QUEPOS,10597
Salud,FISCHEL SAN PEDRO S64,7830
Restaurante,EMILIOS S CAFE\ QUEPOS,2000
Supermercado,AUTO MERCADO PL.DEL SOL,3966.75
Salud,FARMACIA FISCHEL PLAZA DEL SOL,7830
Entretenimiento,Spotify ,5000
Restaurante,TAP HOUSE,5150
Supermercado,WALMART ESCAZU DIRECTO,13456
Restaurante,NINA CAFE,600
Luz,App BCR Móvil,20000
Agua,App BCR Móvil,12000
Restaurante,NAANS Y CURRIES,5400
Restaurante,MC DONALD S MULTIPLAZA 5TA.ETA,3850
Gasolina,DELTA CIUDAD QUESADA,2000
Restaurante,EL RANCHO,9350
Entretenimiento,Spotify ,5000
Restaurante,LA TORTILLERIA EXPRESS,3350
Restaurante,SUBWAY U.LATINA,9625
Transferencia,SINPE,5300
Transferencia,SINPE,4450
Transferencia,SINPE,4000
Transferencia,SINPE,5000
Transferencia,SINPE,5685
Carro,PURDY MOTOR,15000
Transferencia,SINPE,10597
Restaurante,LA TORTILLERIA EXPRESS,24016
Entretenimiento,HBOMax,10400
Supermercado,AUTO MERCADO PL.DEL SOL,3966.75
Restaurante,SUBWAY PLAZA DEL SOL,7830
Transferencia,SINPE,5580
Supermercado,AUTO MERCADO PL.DEL SOL,5150
Supermercado,MINI SUPER FRUTICAS N 1,13456
Salud,NUTRICION INTEGRAL,9625
Restaurante,SUBWAY TORRES DEL LAGO,13500
Gasolina,DELTA CIUDAD QUESADA,2000
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,5400
Restaurante,NINA CAFE,3850
Supermercado,AUTO MERCADO PL.DEL SOL,24500
Gastos en el hogar,NA PRAIA,9350
Salud,FISCHEL SAN PEDRO S64,7830
Restaurante,TEF A : ,3350
Supermercado,SUPERMERCADO COMPRE BIEN SAN C,9625
Supermercado,LOS PALETEROS\ ALAJUEL,5300
Luz,App BCR Móvil,20000
Supermercado,AUTO MERCADO PL.DEL SOL,19650.93
Salud,NUTRICION INTEGRAL,9625
Entretenimiento,Spotify ,5000
Restaurante,DELICIAS DEL COMAL,2000
Supermercado,MASXMENOS BO SN JOSE DIRECTO,3966.75
Supermercado,MASXMENOS BO SN JOSE DIRECTO,7830
Restaurante,DELICIAS DEL COMAL \CENTRAL,5580
Gimnasio,GIMNASIO CIPRESES,11350
Supermercado,AUTO MERCADO PL.DEL SOL,13456
Restaurante,SUBWAY U.LATINA,600
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,13500
Entretenimiento,Amazon Prime Video,8000
Restaurante,CHILIS MULTIPLAZA DEL ESTE,5400
Restaurante,ROSTIPOLLOS REAL CARIARI,3850
Transferencia,SINPE,24500
Restaurante,NINA CAFE,9350
Supermercado,MULTIMERCADO AM PM ESCAZU,3150
Regalos,ICON MULTIP ESCAZU,3350
Regalos,AUTO PARKING,9625
