Map_Name,Map_Text,Total_Expense
Restaurante,SUBWAY MULTIPLAZA ESCA ,10597
Gasolina,SERVICENTRO EL HIGUERO,24016
Restaurante,LA FABRICA PIZZERIA CU ,2000
Restaurante,ROSTIPOLLOS,3966.75
Supermercado,AUTO MERCADO PL/DEL SO ,7830
Restaurante,HOOLIGANS ,5580
Diversion,JUMP CENTER,5150
Restaurante,RESTAURANTE TACO BELL,1356
Software,Spotify ,600
Restaurante,TERIYAKI MULTIPLAZA ES ,1500
Supermercado,WALMART ESCAZ,2700
Software,Dropbox 7N5JWLK5LLBQ,5400
Restaurante,AROMA COFEE HOUSE,3850
Restaurante,PORKYS BURGER,2450
Gimnasio,MULTISPA DEL OESTE,9350
Restaurante,SUBWAY U/LATINA,3150
Restaurante,ROSTIPOLLOS MULTIPLAZA,3350
Salud,NUTRICION INTEGRAL,9625
Supermercado,AUTO MERCADO PL/DEL SO,5300
Restaurante,RESTAURANTE TERRAZA TO,4450
Restaurante,PF CHANG S,5200
Restaurante,SUBWAY MULTIPLAZA ESCA,8000
Restaurante,LA FABRICA PIZZERIA,9000
Restaurante,TERIYAKI MULTIPLAZA ES,2000
Supermercado,AUTO MERCADO MULTIPLAZ,3966.75
Regalos,LIBRERIA INTERNACIONAL,7830
Salud,FARM/SUCRE MULTIPLAZA OESTE,5580
Gasolina,SERVICENTRO EL HIGUERON,5150
Gasolina,BOMBA LA MARINA,13456
Restaurante,SUBWAY CIUDAD QUESADA,600
Regalos,ALMACENES SIMAN,13500
Imprevisto,ENTERPRISE CURRIDABAT,2700
Restaurante,CRCC HOYO 19 N/1,5400
Supermercado,SUPERMERCADO COOPEMARI,3850
Restaurante,LA FABRICA PIZZERIA CU,24500
Regalos,UNIVERSAL: OTRAS TARJE,9350
Restaurante,LA CASONA DE LALY SANT,3150
Regalos,EXTREMOS CAMARO MRB MU,3350
Supermercado,MEGA SUPER SANTA ANA,9625
Supermercado,MAXIPALI CIUDAD QUESADA,5300
Restaurante,N Y C PIZZA BCO,4450
Regalos,EKONO SAN CARLOS,19650.93
Restaurante,CABANA DON MANUEL,10597
Gasolina,SERVICENTRO LA ESPERAN,24016
Restaurante,SUBWAY CIUDAD QUESADA,2000
Restaurante,SUBWAY PLAZA DEL SOL,3966.75
Restaurante,TERIYAKI SANTA ANA,7830
Restaurante,ROSTIPOLLOS,600
Restaurante,LA FABRICA PIZZERIA CU,13500
Restaurante,RESTAURANTE LAS HORTEN,2700
Restaurante,RESTAURANTE LAS HORTEN,5400
Gasolina,SERVICENTRO LA ESPERAN,3850
Restaurante,HOOTERS,24500
Restaurante,TAQUIROUS FAST FOOD,5300
Software,NETFLIX/COM,4450
Restaurante,AROMA COFEE HOUSE,1965
Restaurante,CHILIS MULTIPLAZA DEL,10597
Restaurante,TAP HOUSE,24016
Software,Spotify ,13456
Restaurante,NINA CAFE,3966.75
Restaurante,SUBWAY PLAZA DEL SOL,7830
Restaurante,DON RUFINO RESTAURANTE,5580
Restaurante,LAS BRASITAS RESTAURAN,5150
Software,Spotify ,13456
Gasolina,SERVICENTRO EL HIGUERO,3850
Supermercado,AUTO MERCADO PL/DEL SO,24500
Restaurante,ANCHIO PIZZERIA E RIST,9350
Supermercado,SUPER CRISTIAN,3150
Restaurante,NINA CAFE,3350
Supermercado,SUPER EL PARQUE,9625
Supermercado,SUPER EL PARQUE,5300
Restaurante,NINA CAFE,4450
Restaurante,SUBWAY U/LATINA,3000
Restaurante,EL RANCHO DE LALY,5200
Restaurante,LA FABRICA PIZZERIA CU,1500
Restaurante,SUBWAY U/LATINA,10597
Software,Dropbox  ,24016
Restaurante,FOOD AND WINE,2000
Restaurante,PF CHANG S,3966.75
Salud,FARMACIA FISCHEL PLAZA DEL SOL,7830
Restaurante,NINA CAFƒ,5580
Gasolina,SERVICENTRO EL HIGUERO,5150
Restaurante,LA CASONA DE LALY SANT,13456
Restaurante,NINA CAFƒ,600
Gimnasio,MULTISPA DEL OESTE,13500
Restaurante,NINA CAFE ,9350
Supermercado,MAS X MENOS LA GRANJA SERVINET,3150
Restaurante,SUBWAY U/LATINA ,3350
Software,Spotify ,13456
Restaurante,PIPOS DOG,5300
Restaurante,POPS SAN CARLOS ,4450
Restaurante,TAQUIROUS FAST FOOD ,19650.93
Gasolina,ESTACION DE SERV/LOYVA LTDA ,10597
Restaurante,TILAPIAS QUECO S ,24016
Software,NETFLIX/COM ,2000
Celular,Pago ICE TelŽfono ,5150
Restaurante,LA CASONA DE LALY SANT\SANTA A,13456
Restaurante,LA CASONA DE LALY SANT\SANTA A,600
Restaurante,DA PATRICIO E LUIGI RI\SAN JOS,13500
Restaurante,SUBWAY U.LATINA,13500
Restaurante,LA CASONA DE LALY SANT\SANTA A,5400
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,3850
Gasolina,SERVICENTRO LA GALERA,24500
Restaurante,SUBWAY U.LATINA,9350
Restaurante,RESTAURANTE LAS HORTENSIAS,3150
Restaurante,KENKO SUSHI\ ALAJUEL,3350
Restaurante,SUPER EL PARQUE\ ALAJUEL,9625
Supermercado,AUTO MERCADO PL.DEL SOL,5300
Celular,Pago ICE TelŽfono ,4450
Supermercado,AUTO MERCADO PL.DEL SOL,4200
Restaurante,SUBWAY U.LATINA,19650.93
Restaurante,SUBWAY U.LATINA,19650.93
Restaurante,DA PATRICIO E LUIGI RI\SAN JOS,1200
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,10597
Gasolina,SERVICENTRO EL HIGUERON,24016
Restaurante,SUPER LA FERIA,2000
Restaurante,SUBWAY CIUDAD QUESADA,3966.75
Salud,IES KAVERNO BARBER SHOP,7830
Restaurante,LA CASONA DE LALY SANT\SANTA A,5580
Restaurante,PF CHANG S\ ESCAZU,5150
Supermercado,AUTO MERCADO PL.DEL SOL,13456
Restaurante,NIKKLAS,600
Restaurante,JOHNNY ROCKETS TERRAZAS LINDOR,1500
Supermercado,MINI SUPER FRUTICAS N 1,2700
Restaurante,NINA CAFE,5400
Regalos,LIBRERIA INTERNACIONAL,3850
Software,NETFLIX/COM ,2000
Restaurante,TAP HOUSE,9350
Gasolina,SERVICENTRO EL HIGUERON,3150
Regalos,CALZADO CICLON AGUAS ZARCAS,3350
Restaurante,POPS SAN CARLOS,9625
Restaurante,SUBWAY CIUDAD QUESADA,5300
Regalos,EL REY NO. 10 SAN CARLOS TAIWA,4450
Supermercado,AUTO MERCADO PL.DEL SOL,1900
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,10597
Restaurante,SUBWAY U.LATINA,24016
Supermercado,AUTO MERCADO PL.DEL SOL,2000
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,3966.75
Salud,FISCHEL SAN PEDRO S64,7830
Restaurante,NAANS Y CURRIES,5580
Restaurante,LA CASONA DE LALY SANT\SANTA A,5150
Restaurante,COSI CURRIDABAT,13456
Supermercado,SUPERMERCADO MU‹OZ Y N\SAN JOS,600
Gasolina,SERVICENTRO EL HIGUERO\SAN JOS,13500
Supermercado,AUTO MERCADO PL.DEL SOL,2700
Supermercado,MINI SUPER FRUTICAS N 1,5400
Gimnasio,GIMNASIO CIPRESES,3850
Restaurante,NINA CAFE,24500
Regalos,PANDORA,9350
Restaurante,SUBWAY U.LATINA,3150
Restaurante,NINA CAFE,3350
Restaurante,SUBWAY U.LATINA,9625
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,5300
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,4450
Supermercado,SUPER MARKET PURA VIDA,1950.93
Restaurante,THE RUNAWAY GRILL\ QUEPOS,10597
Salud,FISCHEL SAN PEDRO S64,7830
Restaurante,EMILIOS S CAFE\ QUEPOS,2000
Supermercado,AUTO MERCADO PL.DEL SOL,3966.75
Gasolina,SERVICENTRO LA GALERA,7830
Restaurante,SUBWAY U.LATINA,5580
Restaurante,TAP HOUSE,5150
Supermercado,WALMART ESCAZU DIRECTO,13456
Restaurante,NINA CAFE,600
Regalos,ALMACENES SIMAN,13500
Regalos,HALLMARK,2700
Restaurante,NAANS Y CURRIES,5400
Restaurante,MC DONALD S MULTIPLAZA 5TA.ETA,3850
Diversion,AUTO PARKING,24500
Restaurante,EL RANCHO,9350
Restaurante,EL ANDEN,3150
Restaurante,LA TORTILLERIA EXPRESS,3350
Restaurante,SUBWAY U.LATINA,9625
Transferencia,DD SINPE DE Rojas_Ugalde_Danie,5300
Transferencia,DD SINPE DE Rojas_Ugalde_Danie,4450
Transferencia,TEF A : ,4000
Transferencia,TEF A : ,5000
Transferencia,TEF A : ,5685
Carro,PURDY MOTOR,2500
Transferencia,DTR:bac_a_bcr_transfere,10597
Restaurante,LA TORTILLERIA EXPRESS,24016
Celular,Pago ICE TelŽfono ,2000
Supermercado,AUTO MERCADO PL.DEL SOL,3966.75
Restaurante,SUBWAY PLAZA DEL SOL,7830
Transferencia,DD SINPE DE ,5580
Supermercado,AUTO MERCADO PL.DEL SOL,5150
Supermercado,MINI SUPER FRUTICAS N 1,13456
Gasolina,SERVICENTRO LA GALERA,600
Restaurante,SUBWAY TORRES DEL LAGO,13500
Diversion,JIMENEZ & TANZI,2700
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,5400
Restaurante,NINA CAFE,3850
Supermercado,AUTO MERCADO PL.DEL SOL,24500
Restaurante,NA PRAIA,9350
Salud,FISCHEL SAN PEDRO S64,7830
Restaurante,TEF A : ,3350
Supermercado,SUPERMERCADO COMPRE BIEN SAN C,9625
Supermercado,LOS PALETEROS\ ALAJUEL,5300
Regalos,CAFE BRITT EXPRESO MULTIPLAZA,4450
Supermercado,AUTO MERCADO PL.DEL SOL,19650.93
Gasolina,SERVICENTRO LA GALERA,10597
Restaurante,GUACAMOLE\ SAN JOS,24016
Restaurante,DELICIAS DEL COMAL,2000
Supermercado,MASXMENOS BO SN JOSE DIRECTO,3966.75
Supermercado,MASXMENOS BO SN JOSE DIRECTO,7830
Restaurante,DELICIAS DEL COMAL \CENTRAL,5580
Gimnasio,GIMNASIO CIPRESES,5150
Supermercado,AUTO MERCADO PL.DEL SOL,13456
Restaurante,SUBWAY U.LATINA,600
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,13500
Restaurante,TACO BELL TRIANGULO,2700
